GHID,PH,PnN,LA,GL,GW,YPP,YLD
A1257,118.8,12.9,21.1,10.4,26.4,29.5,5118.1
A1258,125,11.8,27.6,10.3,27.8,29,5279.4
A1302,117.7,12.5,26,9.7,22.3,28.9,5245.1
B1053,116.8,12.9,20.4,10.4,26.4,28.4,5280.4
A1260,120.3,12.5,23.5,10.1,25.9,31,5281.4
A1304,124.2,13.7,23.4,10,28.5,30.5,5210.8
A1263,111.9,11.4,26.8,9.2,28.1,28.6,5182.8
B1201,129.3,11.3,23.3,9.4,22,23.8,4227.8
B1202,116.7,12.5,23.1,10,27.9,28.9,4862.4
B1203,115.7,12.8,21.8,9.8,26.5,29.3,5437.1
B1204,123.8,12.7,19.1,9.5,22.7,26.9,4470.4
B1102,120.5,11.6,24.9,9.4,23.5,27.8,4963.1
B1205,127.8,11.6,26.4,9.9,23.9,26.8,4879.8
B1151,124.5,12.1,23.8,10,22.7,28.7,4976.8
B1206,130.6,12.7,24.5,10.1,26.2,29.2,5273.1
B1152,124.7,12.3,24,9.8,25.8,28.1,5371.8
B1207,119.9,12.8,25.9,10.4,25.2,29.9,5270.4
B1208,122.9,13.1,22.3,9.6,23.7,27.9,4690.4
A1307,121.8,12.9,21.8,9.6,26.2,28.1,4968.1
A1309,123.9,13.5,27.4,9.5,24.3,33.3,5543.4
A1310,117.5,12.9,27.5,9.4,24.1,31.8,5616.8
A1313,109.8,14.3,23.9,9.7,20.9,28.1,3965.4
A1314,118.6,12.8,24.1,9.2,22.8,30.1,5541.4
A1311,122.1,12.2,28.6,9.7,22.3,27.2,4630.1
A1312,122.5,12.8,26.2,10.1,23.6,29.1,4617.1
M1345,114.4,12.2,23.5,9.5,25,24.9,3348.1
M1351,118,12.1,22.9,10.4,26.8,29.6,4478.8
M1352,125.6,11.7,23.9,10.1,28.1,29.1,4938.1
M1353,121.6,12.3,26.3,10.2,26.6,30.3,5536.1
M1354,120.5,14.2,25.2,10.3,26.8,29.9,4863.8
M1356,124.6,11.7,25.3,10.1,26.4,31.5,4762.4
M1357,116.9,11,26.5,10.5,27.1,29.4,5668.1
M1358,121.1,12.1,22.6,9.9,25.1,26.7,4438.4
M1359,130.8,12.5,26.9,10.4,25,27.3,4071.8
M1360,116.9,11.3,27,11.3,29.3,28.2,5166.4
M1361,118.5,13.3,19.7,9.6,24.3,30.8,4843.8
B1209,124.1,14,25.8,9.1,21.2,32.1,4370.1
B1210,117.2,12.6,24.5,9.4,25.1,25.5,5102.8
